0,שער האגדה,HtmpReportNum0000_L5,1
1,דבר המערכת,HtmpReportNum0000_L3,1
2,מבוא,HtmpReportNum0001_L3,1
3,בריאות ואושר בחיי הנישואין,HtmpReportNum0002_L3,1
4,ובחרת בחיים,HtmpReportNum0003_L3,1
5,בינו לבינה ?!,HtmpReportNum0004_L3,1
6,אשה בנידת טומאתה,HtmpReportNum0005_L3,2
7,מקווה טהרה,HtmpReportNum0006_L3,2
8,דרך ארוכה וקצרה,HtmpReportNum0007_L3,2
9,אש בנעורת,HtmpReportNum0008_L3,2
10,חכמות נשים בנתה ביתה,HtmpReportNum0009_L3,2
11,שער ההלכה - טהרת המשפחה,HtmpReportNum0000_L5,3
12,אימתי האשה נעשית נדה,HtmpReportNum0000_L4,3
13,מהי נדה?,HtmpReportNum0010_L3,3
14,דיני כתמים,HtmpReportNum0011_L3,3
15,גודל נאמנותה של האשה,HtmpReportNum0013_L3,3
16,דיני בדיקת הפסק בטהרה,HtmpReportNum0001_L4,3
17,השלב הראשון לטהרתה - ׳הפסק בטהרה׳,HtmpReportNum0013_L3,3
18,ימי ההמתנה קודם בדיקת ׳הפסק בטהרה׳,HtmpReportNum0014_L3,3
19,שבעה נקיים,HtmpReportNum0002_L4,3
20,פרטי ודיני הטבילה,HtmpReportNum0003_L4,3
21,השלב השלישי לטהרתה,HtmpReportNum0015_L3,3
22,ההכנות לטבילה,HtmpReportNum0016_L3,3
23,דיני חציצה בטבילה,HtmpReportNum0017_L3,3
24,הטבילה,HtmpReportNum0018_L3,3
25,סיור במשעול הטהרה,HtmpReportNum0004_L4,4
26,הנהגות הבעל והאשה בימי נדתה,HtmpReportNum0005_L4,4
27,דיני הרחקות,HtmpReportNum0019_L3,4
28,דיני פרישה ובדיקה בעונת הוסת,HtmpReportNum0006_L4,4
29,דיני הפרישה לבעלת וסת קבוע,HtmpReportNum0020_L3,4
30,דיני הפרישה לבעלת וסת שאינו קבוע,HtmpReportNum0021_L3,4
31,דיני הבדיקה בעונת הוסת,HtmpReportNum0022_L3,4
32,דיני כלה,HtmpReportNum0007_L4,4
33,טהרה קודם הנישואין,HtmpReportNum0023_L3,4
34,דם בתולים,HtmpReportNum0024_L3,4
35,כלה נדה,HtmpReportNum0025_L3,4
36,הבדיקות שאחר הנישואין,HtmpReportNum0026_L3,4
37,דיני יולדת,HtmpReportNum0008_L4,4
38,מצות עונה,HtmpReportNum0009_L4,5
39,קיום יחסי אישות,HtmpReportNum0027_L3,5
40,הליכות והנהגות התשמיש,HtmpReportNum0028_L3,5
41,קדושת האדם,HtmpReportNum0010_L4,5
42,חתן וכלה,HtmpReportNum0029_L3,5
43,העוון החמור ביותר - הוצאת זרע לבטלה,HtmpReportNum0030_L3,5
